index,category,filename,title,content,num_sentences,num_words,avg_word_length,avg_sentence_length,common_words,common_phrases
294,business,295.txt,Business confidence dips in Japan," Business confidence among Japanese manufacturers has weakened for the first time since March 2003, the quarterly Tankan survey has found.  Slower economic growth, rising oil prices, a stronger yen and weaker exports were blamed for the fall. December's confidence level was below that seen in September, the Bank of Japan said. However, September's reading was the strongest for 13 years. ""The economy is at a pause but unlikely to fall"", the economy minister said. ""It will feel a bit slower (next year) than this year, and growth may be a bit more gentle but the situation is that the recovery will continue,"" said economy minister Heizo Takenaka. In the Bank of Japan's December survey, the balance of big manufacturers saying business conditions are better, minus those saying they are worse, was 22, down from 26 in September.  Japan's economy grew by just 0.1% in the three months to September, according revised data issued this month. With the recovery slowing, the world's second biggest economy is now expected grow by 0.2% in 2004. The Tankan index is based on a survey of 10,227 firms. Big manufacturers were even more pessimistic about the first quarter of 2005; their views suggest the March reading could go as low as 15 - still in positive territory, but weaker. The dollar's decline has strengthened the yen, making Japanese exports more expensive in the US. China's attempts to cool down its fast-growing economy have also hit Japanese industry's sales abroad. Confidence among non-manufacturers was unchanged in the final quarter of 2004, but it is forecast to drop one point in the March survey. Nonetheless, Japanese firms have been stepping up capital investment, and the survey found the pace is quickening. Companies reported they expect to invest 7.7% more in the year to March 2005 than the previous year - up from expectations of 6.1% increase in the September Tankan. ",20,311,4.881028938906752,15.55,"['economy', 'survey', 'japanese', 'march', 'september', 'year', 'confidence', 'manufacturers', 'tankan', 'said']","['confidence among', 'survey found', 'economy minister', 'big manufacturers', 'business confidence']"
962,politics,067.txt,Child access laws shake-up," Parents who refuse to allow former partners contact with their children could be electronically tagged under plans being considered by ministers. Curfews and community service orders were other options which could be used if court orders to allow parental access were defied, Lord Falconer said. The constitutional affairs secretary outlined some of the plans on Tuesday. He denied fathers' activists had forced the changes, telling the BBC ""there is a recognition that something is wrong"". Between 15,000 and 20,000 couples go to court to resolve access disputes each year, although in nine out of 10 separations there is no court intervention.  Lord Falconer told BBC Radio 4's Today programme he hoped voluntary mediation could help solve disputes before they reached court. But he opposed compulsory mediation, saying that it would lead to many people taking part with the wrong attitude. Other plans include:    - Parenting plans to give advice on access arrangements, based on real-life examples that have worked in the past   - Extending in-court conciliation - more informal hearings before contested court cases   - Better access to legal, emotional and practical advice by telephone and internet   - Legal aid changes to give incentives for early resolution of disputes.     Judges can already jail parents who breach contact orders but that was a ""nuclear option"" which was rarely used as it was not seen as being in the child's interests, a spokesman said. The aim of the new legislation was to provide a ""medium range"" of penalties, such as fines, community service orders, compulsory anger management or parenting classes or curfews.  Failure to comply with these measures could result in offenders being electronically tagged. On the possibility of tagging uncooperative parents, Lord Falconer said: ""Tagging may be going too far, but let's have a debate about that."" Full details of the new powers will not be revealed until a bill is published ""in the next two weeks,"" a spokesman said.  The government's proposals have met with disapproval from fathers' rights groups. John Ison, from the controversial group Fathers 4 Justice, said: ""It is very disappointing. What we have got is a cynical case of recycling existing legislation."" Jim Parton, from Families Need Fathers, said the new proposals ""lacked compulsion"".  ""We would like to see couples develop a plan and then have it as a source of a court order - then you know where you stand, you know what the minimum access is. ""Otherwise, you see people make agreements which then fall apart."" Mr Parton said he had been told by Children's Minister Margaret Hodge there was not enough time to pass the bill through parliament before the general election, which is likely to take place in May.  The Conservatives have called for an equal split between parents on access to be made law. Theresa May, shadow secretary for the family, told BBC Radio 4's Today programme that the government's plans were ""inadequate"" and were ""papering over the cracks of the current system"". She said a Conservative government would bring a ""radical reform"" of the family courts, as well as enforcing a ""legal presumption of co-parenting and compulsory mediation"". ""We want to make courts the last resort, rather than the first resort,"" she added. The government says children cannot simply be divided up ""like property"" when a marriage collapses. The Liberal Democrats have argued for flexibility in deciding access rules, rather than having ""rigid targets"". ",26,558,5.053763440860215,21.46153846153846,"['said', 'access', 'court', 'plans', 'parents', 'could', 'orders', 'fathers', 'lord', 'falconer']","['lord falconer', 'electronically tagged', 'community service', 'service orders', 'falconer said']"
1159,politics,264.txt,Blair looks to election campaign," Tony Blair's big speech will be looked back on as the performance that kicked off the election campaign.  That poll may still be about 16 weeks away, but there can be little doubt left that the campaign is now in full swing. The prime minister used his speech to a selected audience in the south east to set out his broad brush election manifesto. There was a detailed account of the government's past record, with a major emphasis on the economy and public services. There was an attempt to draw the line under the gossip surrounding his rift with Chancellor Gordon Brown. And there was an insistence on the importance of the party continuing to operate as unremittingly ""New"" Labour - although that may continue to irritate his chancellor.  There was little in terms of concrete proposals or what might form manifesto pledges, although the prime minister talked about a ""New Labour manifesto that will be aimed at all sections of society"". His was more a speech designed to remind people, and some in his own party, precisely what New Labour stood for, and to leave them in no doubt there would not be any shrinking away from that approach. And, for some, that means showing that New Labour actually does stand for something - that it is, as he said, more than ""an electoral device"".  To that end he set out a broad programme aimed to appeal to both middle England voters who switched to the party in 1997 and stuck with it, possibly through some gritted teeth, in 2001, and to more traditional lower income old Labour supporters. In a key section, he declared: ""In our third term we can achieve an unprecedented widening of opportunity and prosperity. ""For the first time ever a whole generation growing up with unbroken economic stability. Every family - not just the fortunate few - knowing their children will have an inheritance at adulthood. ""Every pupil in every secondary school guaranteed a place in university or a quality apprenticeship. Every adult - including those who missed out at school - able to get the skills then need to advance. ""Home ownership extended to its highest ever level and to families who have never before been able to afford it. ""The highest ever level of employment with everyone in work guaranteed a decent wage and decent conditions"".  Under what is to be the general election slogan ""Britain is working"", the prime minister time and again insisted the future direction would be unremittingly New Labour. That might get under the skin of Mr Brown, but he also heaped praise on him as the most successful post-war chancellor Britain has had. Probably the greatest ideological divide between the two men, in so far as there is one, is about the degree of private finance allowed into the public services.  An unremittingly ""New"" Labour manifesto, as the prime minister is happy to make plain, will stress the importance of that - the belief patients and parents, for example, want a choice of good services before they start worrying about who has provided them. The chancellor is said to be far more sceptical about private finance, although there is no suggestion he opposes it in principle. With an election looming the next big speech from Gordon Brown will be closely examined for any signs of divisions and, in particular, the use of that little three letter word. But for now, all eyes have been focused on the next general election. And for many in Westminster, Mr Blair's performance has only succeeded in hardening the belief that will be on 5 May. ",25,597,4.703517587939698,23.88,"['labour', 'new', 'election', 'speech', 'prime', 'minister', 'manifesto', 'chancellor', 'every', 'may']","['new labour', 'prime minister', 'unremittingly new', 'big speech', 'set broad']"
1069,politics,174.txt,Escaped prisoner report ordered," First Minister Jack McConnell has ordered a report on the decision to allow a paranoid schizophrenic knife attacker to go on a visit unguarded.  Michael Ferguson, 36, escaped after being allowed out of the high-security Carstairs unit. The SNP's Nicola Sturgeon has demanded to know who was responsible for signing off the leave. The Scottish Executive said ministers would be notified but it would ""not be common practice"" to sign approval. An executive spokesman said the health department and the state hospital itself would work together on preparing the report. Ministerial responsibility for Carstairs rests with Rhona Brankin, the deputy health minister. Ms Brankin said: ""The first minister has called for a review of what has happened, we need to talk to the state hospital and we need to reflect on this."" Ms Sturgeon has written to Mr McConnell asking for clarification on the move to allow the prisoner out. She said questions must be answered about his escape, if the public is to be reassured about safety. Police are still searching for Ferguson, who failed to return after a trip to East Kilbride on Monday.  The Scottish National Party's parliamentary leader argued that under the law, authorisation of Ferguson's leave of absence would have come directly from ministers. She said: ""The Scottish Executive seemed to indicate yesterday that the escape of Mr Ferguson was a matter for Carstairs. ""However, my understanding is that, under the mental health legislation, the decision to grant this patient - and any restricted patient - leave of absence, would have required direct and specific authorisation by Scottish ministers."" She added: ""I have written to the first minister today asking for confirmation of that fact. I have also asked him to confirm which minister would routinely take decisions of this nature and what information they are based on. ""This is not an attempt to apportion blame, but to ensure a better understanding of the decision making process in such important and sensitive cases.""  Police said Ferguson posed a danger to the public. BBC Scotland political correspondent Glenn Campbell said the first minister had ordered an urgent report into the situation. He said: ""We understand from the executive that in this case no individual minister signed off the approval for Michael Ferguson to be released unescorted from Carstairs. ""The executive concedes that it is up to Scottish ministers, they have a legal responsibility for approving this sort of leave, but they say routinely it is specialised officials that make that decision and simply inform ministers that they have taken it. ""But at that stage presumably ministers can ask hard questions and can ask for reassurances that the patient is not a serious danger to the public or that any risk has been minimised."" Scottish Conservative leader, David McLetchie, said earlier it was ""almost beyond belief that this has been allowed to happen"".  The executive spokeswoman said the recommendation for leave was agreed by a psychiatric advisor ""in conjunction with officials on behalf of ministers"". She said: ""Ministers were told of that, notified of it, but it would not be common practice for them to sign it off. ""They do have statutory responsibility, but the common practice has been that people who work with the patient and have the best knowledge about risk would make that decision."" Ferguson, who slashed a man in a doctors' surgery in Coatbridge in 1994, had been out to see his fianc&#233;e Annabella Holmes, 47, whom he met when she was a patient at the high security complex in South Lanarkshire. He is described as being 5ft 9ins tall, slim, with blond hair, blue eyes and a fair complexion. Ferguson was wearing a black jacket, grey jeans, black jumper and black shoes when he was last seen. He has multiple fading tattoos on his left hand and a very faded tear tattoo under his left eye. Ms Holmes is not missing but there have been no sightings of Ferguson since Monday. Strathclyde Police asked anyone who spots Ferguson to contact Sergeant Keith McDonald on  . ",31,670,4.931343283582089,21.612903225806452,"['said', 'ferguson', 'ministers', 'would', 'minister', 'scottish', 'executive', 'decision', 'leave', 'patient']","['first minister', 'common practice', 'michael ferguson', 'scottish executive', 'said ministers']"
2030,tech,207.txt,How to smash a home computer," An executive who froze his broken hard disk thinking it would be fixed has topped a list of the weirdest computer mishaps.  Although computer malfunctions remain the most common cause of file loss, data recovery experts say human behaviour still is to blame in many cases. They say that no matter how effective technology is at rescuing files, users should take more time to back-up and protect important files. The list of the top 10 global data disasters was compiled by recovery company Ontrack.  Careless - and preventable - mistakes that result in data loss range from reckless file maintenance practices to episodes of pure rage towards a computer. This last category includes the case of a man who became so mad with his malfunctioning laptop that he threw it in the lavatory and flushed a couple of times. ""Data can disappear as a result of natural disaster, system fault or computer virus, but human error, including 'computer rage', seems to be a growing problem,"" said Adrian Palmer, managing director of Ontrack Data Recovery.  ""Nevertheless, victims soon calm down when they realise the damage they've done and come to us with pleas for help to retrieve their valuable information."" A far more common situation is when a computer virus strikes and leads to precious files being corrupted or deleted entirely. Mr Palmer recalled the case of a couple who had hundreds of pictures of their baby's first three months on their computer, but managed to reformat the hard drive and erase all the precious memories. ""Data can be recovered from computers, servers and even memory cards used in digital devices in most cases,"" said Mr Palmer. ""However, individuals and companies can avoid the hassle and stress this can cause by backing up data on a regular basis."" ",13,295,4.84406779661017,22.692307692307693,"['computer', 'data', 'recovery', 'files', 'palmer', 'hard', 'list', 'common', 'cause', 'file']","['data recovery', 'computer virus', 'mr palmer', 'executive froze', 'froze broken']"
1146,politics,251.txt,Brown and Blair face new rift claims," For the umpteenth time, Tony Blair and Gordon Brown are said to have declared all out war on each other.  This time the alleged rift is over who should take the credit for the government's global aid and debt initiatives, particularly in the wake of the tsunami disaster - an issue many hoped and believed was above such things. It dominated the prime minister's monthly news conference, which saw Mr Blair start in full irritation mode as he was forced to bat away question after question about his relationship with his neighbour. As he told journalists: ""I am not interested in what goes in and out of newspapers. There is a complete unity of purpose."" And he again heaped praise on Mr Brown saying he was doing a great job, and would continue doing it - although he would not commit to any job for Mr Brown after the election.  So why did he arrange his press conference at the last moment so it coincided with Mr Brown's long-arranged keynote speech on aid and debt, he was asked? By now Mr Blair had moved from irritation mode to his barely disguised fury setting. He snapped back that the hacks knew very well what the operational reasons were for the timing of his press conference. Well, not really, as it happens.  And he repeated what a great man Gordon was and how united they were, before again sneering that he took absolutely no notice of what went in and out of the newspapers, preferring to get on with the job of doing the best for the country and the world. Although in the next breath he declared: ""I get increasingly alarmed by what I read in the newspapers"" before catching himself on and quickly adding: ""In so far as I read them of course."" He probably had good reason to be alarmed because the newspapers had been full of stories about the claimed open warfare between the two men.  As far as the timing of the prime minister's press conference is concerned, there are two options. The first is that it was a calculated attempt to upstage the chancellor and seize back the initiative on the big issue of the moment. If that is the case it suggests that even the fear of seriously negative newspaper headlines is not enough to stop the squabbling. The second option is that it was an unavoidable coincidence, which would suggest the government has lost its once-famed ability to strictly co-ordinate announcements - through the infamous Downing Street grid - to avert just such allegations.  Either way, the effect was the same - to overshadow the big announcements of government policy on a hugely pertinent issue. And there had been previous suggestions that the new year had started with a fresh outbreak of the warfare between the two men. Firstly, the prime minister insisted on Wednesday that he had been intimately involved in the development of the proposals to get G8 countries to freeze debt repayments from the tsunami-hit countries. It was claimed he had been embarrassed by the fact that Gordon Brown appeared to have taken the initiative over the government's response to the disaster while Mr Blair was still on holiday in Egypt.  Then, as if to pour fuel on the flames, both men separately spoke about working on tsunami or wider aid and development policy with their cabinet colleagues Foreign Secretary Jack Straw, Aid minister Hilary Benn and Deputy Prime Minister John Prescott - without mentioning the other. All this came amid fresh claims that Mr Brown was still seething that he had been excluded from a prominent role in general election planning and had, as a result, started to set out his own platform. The fact that he used an article in the Guardian newspaper to set out what he believed ""should"" be in the manifesto, has embarked on a mini tour of Britain to set out his aid plans and will next week visit Africa on the same mission - often seen as the prime minister's ""turf"" - has only added to the impression of rival camps operating entirely independently of each other. The prime minister denied all that as well, repeating his insistence that it was inconceivable the economy and the chancellor would not be at the centre of the election campaign. But the big fear with many on the Labour benches now is that, unless a lid can be put on the speculation over the rivalry, it may even threaten to undermine the election campaign itself. ",26,750,4.604,28.846153846153847,"['mr', 'prime', 'brown', 'aid', 'blair', 'conference', 'newspapers', 'would', 'election', 'minister']","['prime ministers', 'mr blair', 'mr brown', 'press conference', 'prime minister']"
122,business,123.txt,Train strike grips Buenos Aires," A strike on the Buenos Aires underground has caused traffic chaos and large queues at bus stops in the Argentine capital.  Tube workers walked out last week demanding a 53% pay rise and in protest against the installation of automatic ticket machines. Metrovias, the private firm which runs the five tube lines in the city, has offered an 8% increase in wages. The firm promised no jobs would be lost as a result of new ticket machines. It said it would put this commitment on paper.  Underground staff have warned they will continue with the protests until the management put an acceptable offer on the table. The Argentine Work Ministry has been mediating in the conflict and it could call an ""obligatory conciliation"", which would force both sides to find a solution and put an end to the conflict. Some tube commuters have not hidden their frustration at the ongoing strike and have broken the windows of the underground trains, according to the local press. ""We are taken as hostages. I don't know who is right, but the harm ones are us,"" said accountant Jose Lopez. ",10,186,4.629032258064516,18.6,"['underground', 'tube', 'would', 'put', 'strike', 'argentine', 'ticket', 'machines', 'firm', 'said']","['ticket machines', 'strike buenos', 'buenos aires', 'aires underground', 'underground caused']"
1983,tech,160.txt,Halo 2 sells five million copies," Microsoft is celebrating bumper sales of its Xbox sci-fi shooter, Halo 2.  The game has sold more than five million copies worldwide since it went on sale in mid-November, the company said. Halo 2 has proved popular online, with gamers notching up a record 28 million hours playing the game on Xbox Live. According to Microsoft, nine out of 10 Xbox Live members have played the game for an average of 91 minutes per session.  The sequel to the best-selling Need for Speed: Underground has inched ahead of the competition to take the top slot in the official UK games charts. The racing game moved up one spot to first place, nudging GTA: San Andreas down to second place. Halo 2 dropped one place to five, while Half-Life 2 fell to number nine. Last week's new releases, GoldenEye: Rogue Agent and Killzone, both failed to make it into the top 10, debuting at number 11 and 12 respectively.  Record numbers of Warcraft fans are settling in the games online world. On the opening day of the World of Warcraft massive multi-player online game more than 200,000 players signed up to play. On the evening of the first day more than 100,000 players were in the world, forcing Blizzard to add another 34 servers to cope with the influx. The online game turns the stand alone Warcraft games into a persistent world that players can inhabit not just visit  Europe's gamers could be waiting until January to hear when they can get their mitts on Nintendo's handheld device, Nintendo DS, says gamesindustry.biz. David Yarnton, Nintendo UK general manager, told a press conference to look out for details in the New Year. Its US launch was on Sunday and it goes on sale in Japan on 2 December. Nintendo has a 95% share of the handheld gaming market and said it expected to sell around five million of the DS by March 2005. ",16,321,4.4953271028037385,20.0625,"['game', '2', 'online', 'world', 'xbox', 'halo', 'five', 'million', 'games', 'place']","['halo 2', 'five million', 'xbox live', 'online game', 'microsoft celebrating']"
440,business,441.txt,Trade gap narrows as exports rise," The UK's trade gap narrowed in November, helped by a 7.5% rise in exports outside the European Union.  According to the Office for National Statistics, the difference between what the UK exported and imported was £3.1bn ($5.8bn), down from October's £3.6bn. Overall UK exports - including both goods and services - rose by more than 3.2% to £24.8bn, although total imports rose again to a new record of £27.9bn. The deficit for goods alone was £4.6bn, down from October's £5bn. During November the UK exported £16.9bn worth of goods, but imported £21.5bn. The cumulative deficit for the first eleven months of 2004 now stands at £36.3bn, £4.5bn higher than the same period in 2003.  November saw an improvement in export levels to both the European Union and the rest of the world, the Office for National Statistics (ONS) said. EU exports rose 2%, fuelled by an increase in sales of chemicals. Non-EU exports shot up 7.5%, with growth seen across a range of manufacturing sectors including cars, consumer durables and chemicals. The export boost offset a 1% rise in imports. Non-EU imports rose 3%, but the growth in goods entering the UK from the EU slowed to 0.5%.  The UK's deficit with the EU fell to £1.9bn from £2.1bn, while its non-EU shortfall dropped to £2.7bn from £2.9bn in October.  The country's surplus on trade-in-services remained steady at £1.5bn for the fifth month in a row. Paul Dales, UK economist for Capital Economics, said the figures represented an improvement on recent months. However, he stressed that the long-term prognosis for exports was still uncertain. ""The figures are a lot better than expected but the trend still remains poor,"" he said. ""There have been some very encouraging signs that the UK export recovery is starting to take hold. But there is a danger that this could be held back by the ongoing weakness of domestic demand on the continent."" ",38,316,4.6455696202531644,8.31578947368421,"['uk', 'exports', 'goods', 'rose', 'november', 'imports', 'deficit', 'export', 'said', 'eu']","['european union', 'office national', 'national statistics', 'uk exported', 'imports rose']"
2132,tech,309.txt,What's next for next-gen consoles?," The next generation of video games consoles are in development but what will the new machines mean for games firms and consumers? We may not know when they will be released, what they will be called or even what they will be able to do but one thing is certain - they are coming. Sony, Microsoft and Nintendo are all expected to release new machines in the next 18 months. The details of PlayStation 3, Xbox 2 (codename Xenon) and Nintendo's so-called Revolution are still to be finalised but developers are having to work on titles for the new machines regardless.  ""We know maybe what the PS3 will do, but we can only guess,"" said Rory Armes, studio general manager for video game giant Electronic Arts in Europe. ""It's a horrendous effort in the first year,"" he admitted. Microsoft had delivered development kits to EA, said Mr Armes, but he said the company was still waiting on Sony and Nintendo to send kits. Although the details may not be nailed down, Mr Armes said EA was beginning to get a sense of the capabilities of the new machines. ""The rumours are that PlayStation 3 will have a little more under the hood [than Xbox 2],"" he said.  ""Microsoft is obviously a software company first and foremost, while Sony has more experience in hardware. I think Sony will be able to push more into a box at cost.""  What is certain is that the new machines will provide great leaps in processing and graphical power. It is also likely that they will contain convergence technologies to make the machines more of an entertainment hub. At the Consumer Electronics Show in Las Vegas Microsoft boss Bill Gates said Xbox 2 would be part of his vision of the digital lifestyle. While short on detail, he painted a picture of a machine that would complement a PC and offer ""great video gaming but video gaming for a broader set of people, more communications, more media, more connectivity"". Sony is thought to have a similar vision for PS3 while Nintendo remain focused on a machine purely for games.  Until it is clear precisely what the new machines can do, developers are working on a first round of titles to harness the new horsepower. Gary Dunn, development director at Codemasters, said the company had a central technology group which was at the forefront of preparing for the next generation of consoles. ""We are working on new libraries of effects. A lot of the major techniques are already out there and in use in PC gaming, such as pixel shaders and normal mapping.""  Mr Dunn said he expected the introduction of real-world physics to be a major part of the new consoles. ""We want to increase that level of immersion and realism in gaming to people can lose themselves in a game."" In the first year at least, developers said gamers should not expect games which harness the full potential of the machines. Graphical spit and polish and better physics in line with the capabilities of current high-end graphics cards for PCs should be expected. Simon Gardner, president of Climax's Action Studio, said: ""It's definitely an exciting time. We want to give more freedom to the player. We want to give players an emotional connection to the characters they play. ""The environments will be much more believable and dramatic, growing and changing as you play. ""There will be a breadth of effects, more involving worlds to play in.  ""It's a bit like being an artist and being given a bigger canvas and a smaller brush. We're being given more tools. ""For the average consumer, we can get things of a more filmic quality."" Gerhard Florin, head of EA in Europe, said gamers should expect titles that blur the line between films and video games. Many will be sceptical - gamers were given similar predictions during the last transition of console hardware - but this time it would seem to be more likely. ""PS3 will provide graphics indistinguishable from movies,"" said Mr Florin. He said the distribution method for games would also change radically in the next round of consoles. ""A gamer could buy a starter disc for 10 euros. When he goes home he goes online and he could buy AI and levels as you go.  ""It's much smarter if you can get levels as you go."" Mr Armes warned that developers still had to learn how to tell stories effectively in the medium. ""In some ways we are trying to forget about the hardware, go in the opposite direction. We have been very bad at letting technology design our creativity. ""What we have to do as a company is start ignoring the technology and learning our craft in telling stories."" Mr Gardner agreed: ""We can thrown more polygons around and have better AI but if it doesn't make for a better game then that's not very useful."" Developers will certainly have the tools with the new machines, but how they employ them is still to be decided. ",45,839,4.5256257449344455,18.644444444444446,"['said', 'new', 'machines', 'games', 'mr', 'video', 'sony', 'developers', 'next', 'consoles']","['new machines', 'xbox 2', 'mr armes', 'next generation', 'video games']"
